Symbol	DEMO_RNAseq_S01	DEMO_RNAseq_S02	DEMO_RNAseq_S03	DEMO_RNAseq_S04	DEMO_RNAseq_S05	DEMO_RNAseq_S06	DEMO_RNAseq_S07	DEMO_RNAseq_S08	DEMO_RNAseq_S09	DEMO_RNAseq_S10	DEMO_RNAseq_S11	DEMO_RNAseq_S12	DEMO_RNAseq_S13	DEMO_RNAseq_S14	DEMO_RNAseq_S15	DEMO_RNAseq_S16	DEMO_RNAseq_S17	DEMO_RNAseq_S18	DEMO_RNAseq_S19
ACOT9	1.1	85.7	5.1	9.8	21.4	27	7.6	205.3	38	112.1	1.2	265.1	1.7	54.6	12.3	0.8	5.1	4.5	0.2
ACOX1	4.1	2.9	14.3	0.5	1.4	4.1	2	16.2	5.2	18.3	8	2.2	3	6.6	1.5	2.5	0.1	21.6	2.4
ACOX2	0.2	6.5	5.4	0.0713	1.7	23.7	3.2	7.3	2.1	0.0233	5.7	9.7	41.6	0.3	1.3	4	3.2	10	99.7
ACOX3	65.2	1.7	4.9	0.9	2.5	0.2	1.6	15.7	7.9	1.2	10.4	11.4	7.2	5.1	182	4.1	0.0492	9.7	72.9
ACOXL	13.7	51.9	58.8	4.4	5.4	14.6	0.2	3.6	0.2	3.9	1.1	16.1	0.8	0.4	123.5	1.7	1.7	17.1	1.8
ACP1	2.6	3	22.1	3.1	19.9	6.1	8.4	11.2	2.5	25.6	1.3	1.2	12.1	3	0.7	11.9	0.3	6.6	24.8
ACP2	16.6	17.8	2.9	0.8	0.2	11.4	1.5	6.4	53.6	7.6	2.1	16.7	48.9	16.2	11.6	0.2	45.8	197.9	14.2
ACP5	0.9	5.6	0.1	1.6	0.3	5.9	2	10	5.6	9.9	12.8	31.9	0.7	10.2	14.4	9.5	751.1	0.3	0.5
ACP6	37.9	0.0617	8.7	0.0365	258.3	20.1	15.4	0.0797	0.9	1.3	12.2	10.7	10.5	7	7.2	1.6	7.9	2.7	4.7
ACPP	1.1	20.2	4.2	6.7	5.5	6	8.5	45.1	5.3	0.0873	10.6	45.1	144.1	1.5	0.2	337	61.7	4.3	3
ACPT	8.1	0.7	1.1	8.8	0.8	30.5	6.1	4	4.1	2.9	236.2	1.1	5.1	10.3	61.8	0.5	4.1	8	3.9
ACR	0.5	4.4	1	1361.6	21.4	17.8	0.7	1.4	23.6	1.5	0.5	0.9	0.4	40.9	1.8	5.6	0.0812	3	0.6
ACRBP	1.8	165.1	16.4	63	27.6	28.3	46.3	20.7	132.8	3.7	1	12.3	12.9	10.4	61.3	252.4	31.4	229.6	4.7
ACRC	40	28.3	0.4	0.6	0.3	0.3	1.8	4.3	2.8	2.8	2	11.9	6.3	43.9	71.4	48.9	10.8	2.5	0.5
ACRV1	0.1	0.5	2.8	0.5	2.2	4.5	43.6	21.7	2.2	25.9	7.4	78.7	0.0335	11.3	0.1	16.7	4.8	1.7	0.9
ACSBG1	0.4	2	45.5	13.9	35.5	16.5	2.4	0.0709	2.5	8.5	2.5	1.3	0.2	53.1	17.9	33.4	5.5	4.6	7.2
ACSBG2	9.9	1	9.7	23	0.0363	7	120.5	20.3	0.1	0.8	12.4	14.7	4.3	0.8	0.6	4.7	0.7	0.1	2.2
ACSF2	155	1.3	11.7	15.8	31.2	27.6	18.4	47.7	4	44.8	0.3	5.8	0.1	2.2	9.8	87.7	1.7	1	4.3
ACSF3	0.8	154.7	1.1	224.2	22.2	4.3	3.3	7.4	5.9	0.3	11.7	1.2	0.0983	5.4	20.6	6.7	11.8	3.4	2.4
ACSL1	1.6	2.1	1199	6.8	11	0.8	37.7	2	0.9	1.5	1.3	3	0.5	0.5	3	0.8	23	10.1	3.8
ACSL3	1.6	3.9	2.6	1.3	7.2	50.8	4.2	377.6	0.6	0.1	1.4	3.2	1.1	20.7	6.9	9.3	2.5	123	20.9
ACSL4	16.9	123.9	5.6	1.2	1.5	20.8	0.3	0.6	2.8	14.3	5.8	25.1	2.5	146.8	14.1	21	1.2	70.4	1.7
ACSL5	1.9	0.5	3.6	120.5	16.7	31.8	7	21.2	19.8	2.1	0.9	18.2	98.6	2	1.7	259.1	4	2.9	1.2
ACSL6	23.5	7.7	18.8	1.6	2.7	30.6	11.4	17.8	4.9	3.5	0.7	2.2	0.9	2.6	0.5	13	0.9	11.6	30.1
ACSM1	0.8	1.8	0.0974	8.9	0.2	4.4	3.1	4.3	3.7	2.3	26.1	3	2.2	0.5	2	12.6	17.4	3.8	3.4
ACSM2A	8.7	10	11.2	0.4	1.8	2.3	0.1	0.8	5.4	18.1	4.7	5.4	8.1	12.2	4	6.5	13.2	1.2	6
ACSM2B	0.3	121.5	0.7	3.8	1	3	3.2	0.6	17.6	9.1	2.5	5.6	2.7	38.3	8.9	65.1	6.1	0.3	28.7
ACSM3	12.7	12.6	4.7	7.9	1.4	0.3	20.3	44.4	31.5	45	4.4	1.6	8.1	2.8	9.3	0.1	1.1	4.3	1.6
ACSM4	1.3	28.3	17.2	945.7	118.3	1.8	4.5	2.1	115.2	30.4	211.3	4.1	2	3.2	2.2	0.9	1.9	453.4	2.2
ACSM5	3.6	21	5.5	12.8	0.4	26.2	0.7	102.2	0.5	15.4	7	3.1	0.6	0.8	5.2	1.9	2.5	125.7	15.6
ACSM6	16.7	2.3	2.6	0.1	0.2	63.1	1.7	65.9	3.9	50.7	1.2	1.3	6.1	437.7	762.2	1.4	174	2.8	4.2
ACSS1	1.5	0.7	153	4.4	0.9	147.1	15.6	1.2	1.9	71.2	41.3	14	0.3	1.3	7.7	1.3	5.9	0.3	9.5
ACSS2	1.4	3.7	0.2	2.2	77.9	0.8	17.2	6.4	53.5	9	18.4	3.5	0.0686	3.5	12.7	2.7	5.1	2.5	8.8
ACSS3	17.4	0.2	33	7	13.7	1.7	98.1	1.8	0.6	15.6	13.1	1.5	8.6	82.1	57	9.6	0.2	1	4.8
